State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7500,8500,810,10,1300,710,8
Arizona,18500,19500,2600,13,12000,2100,11
Arkansas,11500,11500,1500,13,14000,1900,17
California,1140000,1190000,70000,6,176000,254000,21
Colorado,16500,26000,2300,9,9500,4570,18
Connecticut,3600,3600,120,3,340,170,5
Florida,270000,280000,48000,17,54000,69000,25
Georgia,134000,134000,16000,12,34000,16000,12
Hawaii,14500,14500,280,2,300,3100,21
Idaho,60000,95000,4800,5,17000,29000,31
Illinois,10000,10500,2100,20,4700,2800,27
Indiana,8000,9000,1800,20,4000,730,8
Iowa,45000,47000,4300,9,15500,4800,10
Kansas,3900,3900,170,4,1800,2100,54
Kentucky,4800,6000,450,8,1400,560,9
Louisiana,48000,48000,970,2,7000,4000,8
Maine,2200,17000,1100,6,430,880,5
Maryland,7000,8000,370,5,2400,1200,15
Massachusetts,3600,7500,260,3,910,350,5
Michigan,36000,69000,6000,9,18000,8000,12
Minnesota,69000,108000,6500,6,46000,24000,22
Mississippi,53000,54000,5000,9,3900,6500,12
Missouri,7000,7000,390,6,1800,800,11
Montana,50000,171000,4800,3,26000,20000,12
Nebraska,10500,40000,2700,7,3100,700,2
New Jersey,4400,15000,270,2,1200,170,1
New Mexico,1900,4300,50,1,290,450,10
New York,20000,36000,3300,9,8000,2300,6
North Carolina,16000,17500,1200,7,3600,800,5
North Dakota,72000,430000,11000,3,30000,46000,11
Ohio,11000,13000,1100,8,9000,1800,14
Oklahoma,15500,15500,1600,10,9000,6500,42
Oregon,41000,106000,3400,3,23000,24000,23
Pennsylvania,15500,19500,1100,6,6000,1600,8
South Carolina,14000,14000,1300,9,2400,4000,29
South Dakota,10500,161000,12000,7,21000,65000,40
Tennessee,8000,8000,1200,15,3200,1300,16
Texas,305000,310000,31000,10,100000,69000,22
Utah,14500,26000,1700,7,10000,4100,16
Vermont,5500,6500,520,8,2600,140,2
Virginia,5000,5500,490,9,2400,700,13
Washington,55000,122000,6500,5,19000,18900,15
West Virginia,7000,7000,490,7,2100,550,8
Wisconsin,24000,50000,6000,12,12500,6600,13
Wyoming,8500,22000,2200,10,3100,2300,10
Other States 5/,4260,7660,260,3,1880,930,12
United States,2692660,,270000,10,725650,715110,27